时间,NOx浓度,喷氨量,整点标记
2025-07-11 10:00:00,21.665512,0.0,1
2025-07-11 10:01:00,22.337816,0.156267,0
2025-07-11 10:02:00,23.850817,0.296667,0
2025-07-11 10:03:00,24.874716,0.471167,0
2025-07-11 10:04:00,25.863314,0.167467,0
2025-07-11 10:05:00,25.809511,0.0,0
2025-07-11 10:06:00,25.328615,0.421667,0
2025-07-11 10:07:00,25.970211,0.166467,0
2025-07-11 10:08:00,25.11001,0.537767,0
2025-07-11 10:09:00,25.859612,2.504567,0
2025-07-11 10:10:00,26.780806,0.0,0
2025-07-11 10:11:00,27.088001,0.226566,0
2025-07-11 10:12:00,28.437805,0.376066,0
2025-07-11 10:13:00,28.66301,0.0,0
2025-07-11 10:14:00,28.702209,0.340967,0
2025-07-11 10:15:00,27.429184,0.456019,0
2025-07-11 10:16:00,26.385881,0.527019,0
2025-07-11 10:17:00,28.901783,0.261919,0
2025-07-11 10:18:00,29.135689,0.0,0
2025-07-11 10:19:00,29.52659,0.077519,0
2025-07-11 10:20:00,30.898088,0.457319,0
2025-07-11 10:21:00,30.107288,0.343219,0
2025-07-11 10:22:00,31.101686,0.0,0
2025-07-11 10:23:00,29.994995,0.571619,0
2025-07-11 10:24:00,28.029491,0.0,0
2025-07-11 10:25:00,26.689589,0.26242,0
2025-07-11 10:26:00,26.743488,0.52562,0
2025-07-11 10:27:00,26.565887,0.0,0
2025-07-11 10:28:00,26.24509,0.0,0
2025-07-11 10:29:00,28.133194,0.33052,0
2025-07-11 10:30:00,28.63341,0.20287,0
2025-07-11 10:31:00,29.14081,0.0,0
2025-07-11 10:32:00,29.30051,0.0,0
2025-07-11 10:33:00,29.482613,0.0,0
2025-07-11 10:34:00,29.73381,0.0,0
2025-07-11 10:35:00,30.284216,3.00327,0
2025-07-11 10:36:00,30.600412,0.0,0
2025-07-11 10:37:00,32.686813,0.203271,0
2025-07-11 10:38:00,34.215721,0.458271,0
2025-07-11 10:39:00,35.364517,0.0,0
2025-07-11 10:40:00,34.265316,0.460271,0
2025-07-11 10:41:00,35.229813,2.353071,0
2025-07-11 10:42:00,38.454819,0.469571,0
2025-07-11 10:43:00,39.967907,0.341271,0
2025-07-11 10:44:00,40.3964,0.412371,0
2025-07-11 10:45:00,21.773607,0.0,0
2025-07-11 10:46:00,35.783802,0.0,0
2025-07-11 10:47:00,37.114513,0.422293,0
2025-07-11 10:48:00,37.08292,0.168093,0
2025-07-11 10:49:00,35.865421,0.0,0
2025-07-11 10:50:00,35.333214,0.422393,0
2025-07-11 10:51:00,37.347935,0.086693,0
2025-07-11 10:52:00,40.507114,3.155992,0
2025-07-11 10:53:00,44.371418,0.538692,0
2025-07-11 10:54:00,44.766617,0.373392,0
2025-07-11 10:55:00,44.390709,0.015892,0
2025-07-11 10:56:00,43.243919,0.039592,0
2025-07-11 10:57:00,43.016624,0.340092,0
2025-07-11 10:58:00,42.697731,0.155092,0
2025-07-11 10:59:00,42.83353,0.0,0
2025-07-11 11:00:00,43.728298,0.445,1
2025-07-11 11:01:00,45.245007,97.286098,0
2025-07-11 11:02:00,44.986809,110.085794,0
2025-07-11 11:03:00,45.641495,160.399909,0
2025-07-11 11:04:00,46.927193,163.955508,0
2025-07-11 11:05:00,45.231781,163.839241,0
2025-07-11 11:06:00,44.071583,167.657415,0
2025-07-11 11:07:00,45.597988,167.735324,0
2025-07-11 11:08:00,48.838192,168.848738,0
2025-07-11 11:09:00,50.0947,274.392351,0
2025-07-11 11:10:00,49.86599,300.038853,0
2025-07-11 11:11:00,49.677994,296.775537,0
